0,0,49695,43177,48213,44580,0.023
0.01,0,49692,44189,48132,43589,0.022
0.02,0,49608,43613,48188,43978,0.023
0.03,0,50407,42936,47333,44634,-0.017
0.04,0,50165,43428,47565,44261,-0.005
0.05,0,49904,43414,47960,44138,-0.017
0.06,0,50065,43514,47828,44056,-0.024
0.07,0,50166,43593,47808,44021,-0.015
0.08,0,49877,43533,48119,43993,-0.014
0.09,0,49908,43045,48011,44446,-0.009
0.1,0,49467,43406,48474,43981,0.003
0.11,0,49750,43518,48135,43906,0.019
0.12,0,49690,43785,48084,43669,0.037
0.13,0,49727,43859,47988,43525,0.046
0.14,0,49693,43511,48041,43773,0.029
0.15,0,50084,43119,47676,44048,0.022
0.16,0,49904,43144,47956,44111,0.031
0.17,0,49502,43020,48232,44051,0.027
0.18,0,49740,43654,47987,43325,0.019
0.19,0,50174,42750,47330,44104,0.017
0.2,0,50303,43645,47275,43240,-0.008
0.21,0,50008,43111,47599,43713,0.001
0.22,0,50053,43127,47325,44056,-0.008
0.23,0,50190,42669,47399,44017,0.008
0.24,0,49682,43068,47726,44005,0.021
0.25,1,35615,54290,56839,26889,0.039
0.26,1,35712,54201,56895,26746,-0.053
0.27,1,35785,53990,57015,26561,-0.479
0.28,1,36279,54419,57893,26813,-1.137
0.29,1,35836,54071,58255,27430,-2.145
0.3,1,44336,48029,54740,37772,-3.294
0.31,1,51943,38492,48290,47437,-4.616
0.32,1,57734,20781,40626,54137,-5.8
0.33,1,56960,22773,38637,54931,-6.672
0.34,1,57379,18302,41733,54489,-7.095
0.35,1,56522,19502,40956,56000,-7.108
0.36,1,57333,15849,43430,55095,-6.757
0.37,1,57111,20953,40039,55234,-6.115
0.38,1,57845,17867,42430,54215,-5.267
0.39,1,55329,30509,43845,51433,-4.114
0.4,1,53038,39809,48314,46301,-2.836
0.41,1,49067,48171,52649,38467,-1.458
0.42,1,49926,51755,53946,30416,-0.239
0.43,1,44773,55489,56435,27194,0.707
0.44,1,47331,57463,57254,23295,1.308
0.45,1,47546,57303,57670,27889,1.585
0.46,1,49928,55700,56739,32884,1.517
0.47,1,52047,53798,55997,38438,1.293
0.48,1,53941,49846,55165,45750,0.877
0.49,1,55067,46884,54319,49771,0.481
0.5,1,56073,45658,53647,52051,0.152
